Estratégia,Sharpe (CDI),Sharpe (Zero),Sortino (CDI),Sortino (Zero)
EqualWeight,0.2901946371694107,0.7642680348699377,0.4027058883193056,1.082009454888518
EqualWeight_BuyHold,0.44290628976590074,0.9239409293238254,0.620590851705058,1.3208432304203692
InvVol,0.3276254333891533,0.8182307976118068,0.4553682160133453,1.1610265301540506
MinVar,0.2930651040358906,1.008987170018547,0.4003142946430448,1.4186282989676806
MinVar_c10,0.30442720155724906,1.0184196885718173,0.41542585813030863,1.4301940835274876
MaxSharpe,0.30460839639884824,0.8331839506206964,0.43015226560584263,1.2045100720608204
MaxSharpe_c10,0.2605909345317954,0.8210266481764169,0.36491717827637954,1.1773047538505141
MaxOmega,0.1487403944096914,0.5854522331404924,0.21034006292392562,0.8436681075541249
MaxSortino,0.28124097293759426,0.8023088787302481,0.397264472454695,1.160053369045204
MaxKappa3,0.2842625844358133,0.7918248785874551,0.40290502484645563,1.1482973140259456
MinCVaR,0.2643865839914327,0.9841694262534453,0.36263965926933417,1.3901474493282284
MinCDaR,-0.10501765404816167,0.36261370759551736,-0.14538069497077058,0.5128017338819014
BL_classico,0.6109768555146377,0.968069240431962,0.8902061319585531,1.4335107778613518
BL_classico_c10,0.5632384302971439,1.0222982780398338,0.7915671482012102,1.4641519441524995
BL_downside,0.5138379640108518,0.8020885699869454,0.753238030595953,1.1917679786926272
BL_downside_c10,0.3950915788708942,0.8108078081434549,0.5543015825182191,1.157287299399076
IBOVESPA,0.17765175085716364,0.5751788186844635,0.24453449572821265,0.8040532121450126
