Estratégia,Retorno Acumulado (%),CAGR (% a.a.),Volatilidade (% a.a.),Sharpe,Sortino,Max Drawdown (%)
EqualWeight,301.66002017458925,13.912046362197405,19.555391401269898,0.2901946371694107,0.4027058883193056,-35.53872629005166
EqualWeight_BuyHold,448.3955188539732,17.283937032989428,19.275049023574166,0.44290628976590074,0.620590851705058,-32.9973879782262
InvVol,330.19809437582586,14.646883044971371,18.896430396687425,0.3276254333891533,0.4553682160133453,-34.28136740259345
MinVar,268.6268280486952,12.999893188220991,12.94871288602609,0.2930651040358906,0.4003142946430448,-25.05407919246978
MinVar_c10,274.7024963421712,13.173078613777367,12.983779212383654,0.30442720155724906,0.41542585813030863,-24.998783301266087
MaxSharpe,303.60291669494484,13.963552487363762,17.53981878576762,0.30460839639884824,0.43015226560584263,-22.762160844935327
MaxSharpe_c10,268.1330147054328,12.985703725219167,16.543249401622102,0.2605909345317954,0.36491717827637954,-23.89317682820985
MaxOmega,196.15243273630142,10.706136304347913,21.226407317330796,0.1487403944096914,0.21034006292392562,-30.673702102315815
MaxSortino,287.4149723165513,13.527360363658513,17.791979592476974,0.28124097293759426,0.397264472454695,-23.264765456071647
MaxKappa3,291.69374071093034,13.644236901496454,18.264825901768692,0.2842625844358133,0.40290502484645563,-22.55391996101677
MinCVaR,253.9606112562073,12.570931993796709,12.879133998448852,0.2643865839914327,0.36263965926933417,-26.441690909074346
MinCDaR,74.56794126859245,5.357948456889283,19.819368718979817,-0.10501765404816167,-0.14538069497077058,-62.458645905019324
BL_classico,920.5273060517928,24.3102647278852,25.969485970340155,0.6109768555146377,0.8902061319585531,-38.92904845552277
BL_classico_c10,628.2110364536809,20.44159999818409,20.200807715418716,0.5632384302971439,0.7915671482012102,-33.59597662801087
BL_downside,804.1297974111324,22.907952551857424,32.16632742297275,0.5138379640108518,0.753238030595953,-57.40713232195067
BL_downside_c10,427.977119724767,16.867780906226628,22.303645698291117,0.3950915788708942,0.5543015825182191,-38.00731017587678
IBOVESPA,212.35291913820063,11.259868938420038,23.317887943633288,0.17765175085716364,0.24453449572821265,-46.81578786570986
