Estratégia,Carhart_Alpha_anualized_(%),Carhart_t_stat,Carhart_p_value,Carhart_Beta_Mkt,Carhart_Beta_SMB,Carhart_Beta_HML,Carhart_Beta_WML,Carhart_R2_adj,NEFIN5_Alpha_anualized_(%),NEFIN5_t_stat,NEFIN5_p_value,NEFIN5_Beta_Mkt,NEFIN5_Beta_SMB,NEFIN5_Beta_HML,NEFIN5_Beta_WML,NEFIN5_Beta_IML,NEFIN5_R2_adj
EqualWeight,2.553655,1.201885,0.229408,0.748965,0.165432,0.072460,-0.099047,0.842198,2.682097,1.315087,0.188481,0.759853,0.040092,0.062973,-0.100184,0.210066,0.850397
EqualWeight_BuyHold,4.487631,1.918655,0.055028,0.744640,0.143979,0.054274,-0.007938,0.814829,4.605474,2.017581,0.043635,0.754629,0.028981,0.045570,-0.008981,0.192731,0.821914
InvVol,3.435423,1.696716,0.089750,0.730663,0.145236,0.050973,-0.093220,0.843781,3.555125,1.826101,0.067835,0.740810,0.028424,0.042131,-0.094279,0.195771,0.851405
MinVar,1.957638,0.875801,0.381138,0.442280,0.082083,-0.019262,0.004090,0.614054,2.058531,0.942013,0.346186,0.450833,-0.016374,-0.026715,0.003197,0.165010,0.625531
MinVar_c10,2.161646,0.984147,0.325043,0.450750,0.082770,-0.023011,0.001860,0.633629,2.260886,1.054354,0.291721,0.459162,-0.014075,-0.030342,0.000982,0.162307,0.644676
MaxSharpe,4.413813,1.379833,0.167638,0.600587,0.122825,-0.224419,0.075075,0.583533,4.528672,1.438928,0.150171,0.610323,0.010739,-0.232904,0.074059,0.187851,0.591585
MaxSharpe_c10,2.776924,0.989474,0.322431,0.588119,0.133960,-0.193098,0.088221,0.632817,2.920212,1.072114,0.283669,0.600265,-0.005869,-0.203682,0.086953,0.234347,0.647034
MaxOmega,1.595381,0.420610,0.674040,0.734248,0.184845,-0.258124,0.094776,0.602556,1.783415,0.484576,0.627977,0.750187,0.001351,-0.272014,0.093112,0.307527,0.617432
MaxSortino,4.222367,1.279668,0.200662,0.603825,0.118616,-0.230033,0.070442,0.572496,4.332657,1.332745,0.182615,0.613174,0.010989,-0.238179,0.069466,0.180378,0.579692
MaxKappa3,4.790251,1.365595,0.172066,0.606974,0.109245,-0.242665,0.057708,0.547833,4.892951,1.412225,0.157884,0.615680,0.009025,-0.250251,0.056799,0.167965,0.553717
MinCVaR,1.817411,0.783814,0.433150,0.421715,0.071508,-0.024218,0.000055,0.561026,1.924990,0.849368,0.395677,0.430834,-0.033473,-0.032165,-0.000897,0.175944,0.574218
MinCDaR,-5.489755,-1.293898,0.195701,0.585928,0.176309,0.109204,-0.074205,0.531538,-5.349151,-1.282351,0.199720,0.597847,0.039101,0.098819,-0.075449,0.229956,0.540993
BL_classico,6.119776,1.001002,0.316826,0.684227,0.241076,0.048511,0.382700,0.401934,6.281718,1.039395,0.298621,0.697955,0.083044,0.036549,0.381267,0.264854,0.409155
BL_classico_c10,3.186833,0.814876,0.415143,0.665482,0.214515,0.030539,0.303412,0.605955,3.345282,0.870659,0.383940,0.678913,0.059892,0.018835,0.302010,0.259141,0.617583
BL_downside,4.372537,0.545772,0.585223,0.761735,0.234541,0.124416,0.464410,0.333449,4.507626,0.565835,0.571506,0.773186,0.102713,0.114437,0.463215,0.220937,0.336578
BL_downside_c10,-1.044922,-0.242435,0.808443,0.735674,0.186726,0.110426,0.338137,0.614238,-0.907249,-0.213242,0.831139,0.747344,0.052377,0.100256,0.336919,0.225163,0.621388
