,ticker,cresc_acumulado,retorno_total_pct,peso_final_pct
1,UNIP6,79.5294,7852.9419,14.2178
2,PETR4,27.8309,2683.0922,4.9755
3,CSMG3,24.4281,2342.8083,4.3671
4,PETR3,23.1002,2210.0212,4.1297
5,TRIS3,18.1482,1714.8151,3.2444
6,CPLE3,14.7294,1372.9410,2.6332
7,BRAP4,12.2493,1124.9330,2.1899
8,WEGE3,12.2486,1124.8550,2.1897
9,CSUD3,11.4357,1043.5699,2.0444
10,AXIA6,11.3321,1033.2142,2.0259
11,SBSP3,10.6206,962.0583,1.8987
12,AXIA3,10.2733,927.3305,1.8366
13,EQTL3,10.1058,910.5844,1.8067
14,FESA4,9.6961,869.6089,1.7334
15,CLSC4,9.4454,844.5356,1.6886
16,ROMI3,8.4016,740.1587,1.5020
17,SLCE3,8.3507,735.0660,1.4929
18,CPFE3,7.7463,674.6347,1.3849
19,POMO4,7.6170,661.6981,1.3617
20,VALE3,7.2317,623.1682,1.2928
21,EUCA4,6.9995,599.9451,1.2513
22,B3SA3,6.8734,587.3387,1.2288
23,RENT3,6.7116,571.1647,1.1999
24,MBRF3,6.6632,566.3245,1.1912
25,CYRE3,6.6015,560.1463,1.1802
26,ITUB3,6.3697,536.9748,1.1387
27,TGMA3,6.1536,515.3624,1.1001
28,TOTS3,5.9633,496.3345,1.0661
29,CMIG4,5.9326,493.2618,1.0606
30,GGBR3,5.8260,482.6017,1.0415
31,ISAE4,5.6580,465.7971,1.0115
32,ABCB4,5.6538,465.3791,1.0108
33,PSSA3,5.3930,439.2969,0.9641
34,CMIG3,5.3878,438.7801,0.9632
35,BBAS3,5.3171,431.7129,0.9506
36,RADL3,5.3130,431.3031,0.9498
37,ITUB4,5.1397,413.9661,0.9188
38,AGRO3,5.0616,406.1613,0.9049
39,SANB11,4.9794,397.9370,0.8902
40,ITSA4,4.8044,380.4389,0.8589
41,GGBR4,4.7994,379.9427,0.8580
42,KEPL3,4.5905,359.0506,0.8207
43,ITSA3,4.4596,345.9599,0.7973
44,SANB4,4.2667,326.6716,0.7628
45,JHSF3,3.9776,297.7631,0.7111
46,FLRY3,3.8357,283.5678,0.6857
47,BRSR6,3.7971,279.7133,0.6788
48,EVEN3,3.7501,275.0113,0.6704
49,CGAS5,3.5419,254.1904,0.6332
50,TIMS3,3.4786,247.8633,0.6219
51,EMBJ3,3.3362,233.6247,0.5964
52,EGIE3,3.2517,225.1697,0.5813
53,VIVT3,3.2150,221.4953,0.5748
54,ALPA4,3.1960,219.5970,0.5714
55,BBDC4,3.0739,207.3921,0.5495
56,ENEV3,3.0490,204.9006,0.5451
57,RAPT4,2.9223,192.2321,0.5224
58,GOAU4,2.9138,191.3783,0.5209
59,MRVE3,2.9038,190.3786,0.5191
60,EZTC3,2.8471,184.7055,0.5090
61,CSNA3,2.5944,159.4351,0.4638
62,GRND3,2.5803,158.0251,0.4613
63,SMTO3,2.4947,149.4686,0.4460
64,BBDC3,2.4818,148.1837,0.4437
65,MULT3,2.4547,145.4692,0.4388
66,KLBN4,2.4060,140.5971,0.4301
67,RIAA3,2.3573,135.7262,0.4214
68,ODPV3,2.3526,135.2588,0.4206
69,HYPE3,1.8932,89.3208,0.3385
70,LREN3,1.8469,84.6864,0.3302
71,USIM5,1.8351,83.5096,0.3281
72,DXCO3,1.8223,82.2328,0.3258
73,CSAN3,1.6620,66.1978,0.2971
74,MYPK3,1.4662,46.6160,0.2621
75,BEEF3,1.4280,42.8023,0.2553
76,MOTV3,1.3909,39.0858,0.2487
77,POSI3,1.3882,38.8203,0.2482
78,ABEV3,1.3402,34.0164,0.2396
79,MDIA3,1.2580,25.8049,0.2249
80,NATU3,1.1479,14.7894,0.2052
81,PINE4,1.0172,1.7234,0.1819
82,PFRM3,0.9780,-2.2009,0.1748
83,COCE5,0.9457,-5.4323,0.1691
84,YDUQ3,0.8986,-10.1382,0.1607
85,SCAR3,0.8055,-19.4479,0.1440
86,VLID3,0.7095,-29.0493,0.1268
87,HAGA4,0.6159,-38.4054,0.1101
88,BRKM5,0.5176,-48.2361,0.0925
89,LAND3,0.3387,-66.1314,0.0605
90,USIM3,0.2951,-70.4854,0.0528
91,TASA4,0.2914,-70.8569,0.0521
92,LPSB3,0.2618,-73.8186,0.0468
93,RDNI3,0.2439,-75.6126,0.0436
94,HBOR3,0.2325,-76.7488,0.0416
95,LOGN3,0.2324,-76.7568,0.0416
96,INEP4,0.0935,-90.6480,0.0167
97,TPIS3,0.0631,-93.6860,0.0113
98,FHER3,0.0477,-95.2317,0.0085
99,AMAR3,0.0221,-97.7906,0.0039
100,TCSA3,0.0202,-97.9830,0.0036
101,TELB4,0.0026,-99.7352,0.0005
102,GFSA3,0.0010,-99.9022,0.0002
