estrategia,dSR_anual_vs_1N,JK_p,LW_p,JK_p_holm,LW_p_holm,signif_LW
EqualWeight_BuyHold,0.152712,0.038809,0.057569,0.543325,0.778008,nao
InvVol,0.037431,0.020328,0.017142,0.304923,0.257123,nao
MinVar,0.002870,0.985994,0.983802,1.000000,1.000000,nao
MinVar_c10,0.014233,0.926930,0.915738,1.000000,1.000000,nao
MaxSharpe,0.014414,0.939525,0.946367,1.000000,1.000000,nao
MaxSharpe_c10,-0.029604,0.861937,0.878392,1.000000,1.000000,nao
MaxOmega,-0.141454,0.432336,0.501399,1.000000,1.000000,nao
MaxSortino,-0.008954,0.963294,0.967490,1.000000,1.000000,nao
MaxKappa3,-0.005932,0.976786,0.979449,1.000000,1.000000,nao
MinCVaR,-0.025808,0.889040,0.873262,1.000000,1.000000,nao
MinCDaR,-0.395212,0.043713,0.055572,0.568273,0.778008,nao
BL_classico,0.320782,0.216210,0.259824,1.000000,1.000000,nao
BL_classico_c10,0.273044,0.152662,0.190409,1.000000,1.000000,nao
BL_downside,0.223643,0.432913,0.494008,1.000000,1.000000,nao
BL_downside_c10,0.104897,0.595165,0.624721,1.000000,1.000000,nao
