estrategia,benchmark,dSortino_anual,LW_p,LW_p_holm,signif_LW
EqualWeight_BuyHold,EqualWeight,0.217885,0.055372,0.775206,nao
InvVol,EqualWeight,0.052662,0.017572,0.263577,nao
MinVar,EqualWeight,-0.002392,0.990373,1.000000,nao
MinVar_c10,EqualWeight,0.012720,0.946205,1.000000,nao
MaxSharpe,EqualWeight,0.027446,0.928136,1.000000,nao
MaxSharpe_c10,EqualWeight,-0.037789,0.890517,1.000000,nao
MaxOmega,EqualWeight,-0.192366,0.519388,1.000000,nao
MaxSortino,EqualWeight,-0.005441,0.986088,1.000000,nao
MaxKappa3,EqualWeight,0.000199,0.999515,1.000000,nao
MinCVaR,EqualWeight,-0.040066,0.860204,1.000000,nao
MinCDaR,EqualWeight,-0.548087,0.058798,0.775206,nao
BL_classico,EqualWeight,0.487500,0.239557,1.000000,nao
BL_classico_c10,EqualWeight,0.388861,0.192091,1.000000,nao
BL_downside,EqualWeight,0.350532,0.462740,1.000000,nao
BL_downside_c10,EqualWeight,0.151596,0.619284,1.000000,nao
EqualWeight,EW_BuyHold,-0.217885,0.055372,0.775206,nao
InvVol,EW_BuyHold,-0.165223,0.146243,1.000000,nao
MinVar,EW_BuyHold,-0.220277,0.305547,1.000000,nao
MinVar_c10,EW_BuyHold,-0.205165,0.322608,1.000000,nao
MaxSharpe,EW_BuyHold,-0.190439,0.484980,1.000000,nao
MaxSharpe_c10,EW_BuyHold,-0.255674,0.286648,1.000000,nao
MaxOmega,EW_BuyHold,-0.410251,0.111978,1.000000,nao
MaxSortino,EW_BuyHold,-0.223326,0.425952,1.000000,nao
MaxKappa3,EW_BuyHold,-0.217686,0.467977,1.000000,nao
MinCVaR,EW_BuyHold,-0.257951,0.269879,1.000000,nao
MinCDaR,EW_BuyHold,-0.765972,0.014530,0.217946,nao
BL_classico,EW_BuyHold,0.269615,0.473699,1.000000,nao
BL_classico_c10,EW_BuyHold,0.170976,0.518213,1.000000,nao
BL_downside,EW_BuyHold,0.132647,0.764985,1.000000,nao
BL_downside_c10,EW_BuyHold,-0.066289,0.804886,1.000000,nao
EqualWeight,IBOV,0.158171,0.392949,1.000000,nao
EqualWeight_BuyHold,IBOV,0.376056,0.037416,0.598648,nao
InvVol,IBOV,0.210834,0.245598,1.000000,nao
MinVar,IBOV,0.155780,0.559889,1.000000,nao
MinVar_c10,IBOV,0.170891,0.512025,1.000000,nao
MaxSharpe,IBOV,0.185618,0.566058,1.000000,nao
MaxSharpe_c10,IBOV,0.120383,0.690650,1.000000,nao
MaxOmega,IBOV,-0.034194,0.913746,1.000000,nao
MaxSortino,IBOV,0.152730,0.642840,1.000000,nao
MaxKappa3,IBOV,0.158371,0.643177,1.000000,nao
MinCVaR,IBOV,0.118105,0.671217,1.000000,nao
MinCDaR,IBOV,-0.389915,0.266493,1.000000,nao
BL_classico,IBOV,0.645672,0.121680,1.000000,nao
BL_classico_c10,IBOV,0.547033,0.093015,1.000000,nao
BL_downside,IBOV,0.508704,0.276543,1.000000,nao
BL_downside_c10,IBOV,0.309767,0.325375,1.000000,nao
