ativo,n_winsor_v2,n_winsor_com_zeros,mad_zero,reducao
ACAO_ABCB4,25,39,False,14
ACAO_ABEV3,60,77,False,17
ACAO_AGRO3,94,140,False,46
ACAO_ALPA4,59,69,False,10
ACAO_AMAR3,66,87,False,21
ACAO_AXIA3,87,90,False,3
ACAO_AXIA6,80,86,False,6
ACAO_B3SA3,41,43,False,2
ACAO_BBAS3,75,79,False,4
ACAO_BBDC3,57,62,False,5
ACAO_BBDC4,55,56,False,1
ACAO_BEEF3,57,62,False,5
ACAO_BRAP4,69,75,False,6
ACAO_BRKM5,79,82,False,3
ACAO_BRSR6,47,57,False,10
ACAO_CGAS5,129,155,False,26
ACAO_CLSC4,101,132,False,31
ACAO_CMIG3,69,80,False,11
ACAO_CMIG4,66,69,False,3
ACAO_COCE5,74,85,False,11
ACAO_CPFE3,68,82,False,14
ACAO_CPLE3,62,73,False,11
ACAO_CSAN3,39,42,False,3
ACAO_CSMG3,85,94,False,9
ACAO_CSNA3,62,66,False,4
ACAO_CSUD3,83,112,False,29
ACAO_CYRE3,50,52,False,2
ACAO_DXCO3,33,34,False,1
ACAO_EGIE3,56,64,False,8
ACAO_EMBJ3,81,93,False,12
ACAO_ENEV3,156,206,False,50
ACAO_EQTL3,46,51,False,5
ACAO_EUCA4,72,90,False,18
ACAO_EVEN3,32,38,False,6
ACAO_EZTC3,50,52,False,2
ACAO_FESA4,64,81,False,17
ACAO_FHER3,165,186,False,21
ACAO_FLRY3,40,52,False,12
ACAO_GFSA3,74,86,False,12
ACAO_GGBR3,59,66,False,7
ACAO_GGBR4,58,59,False,1
ACAO_GOAU4,60,71,False,11
ACAO_GRND3,48,64,False,16
ACAO_HAGA4,52,121,False,69
ACAO_HBOR3,52,67,False,15
ACAO_HYPE3,64,65,False,1
ACAO_INEP4,87,142,False,55
ACAO_ISAE4,61,67,False,6
ACAO_ITSA3,64,82,False,18
ACAO_ITSA4,46,54,False,8
ACAO_ITUB3,50,51,False,1
ACAO_ITUB4,50,50,False,0
ACAO_JHSF3,51,65,False,14
ACAO_KEPL3,85,136,False,51
ACAO_KLBN4,36,45,False,9
ACAO_LAND3,82,123,False,41
ACAO_LOGN3,104,128,False,24
ACAO_LPSB3,72,83,False,11
ACAO_LREN3,39,44,False,5
ACAO_MBRF3,53,61,False,8
ACAO_MDIA3,76,84,False,8
ACAO_MOTV3,49,57,False,8
ACAO_MRVE3,32,33,False,1
ACAO_MULT3,56,57,False,1
ACAO_MYPK3,50,55,False,5
ACAO_NATU3,68,72,False,4
ACAO_ODPV3,34,42,False,8
ACAO_PETR3,96,101,False,5
ACAO_PETR4,95,103,False,8
ACAO_PFRM3,91,121,False,30
ACAO_PINE4,78,137,False,59
ACAO_POMO4,42,54,False,12
ACAO_POSI3,99,112,False,13
ACAO_PSSA3,47,54,False,7
ACAO_RADL3,32,37,False,5
ACAO_RAPT4,40,46,False,6
ACAO_RDNI3,89,125,False,36
ACAO_RENT3,47,51,False,4
ACAO_RIAA3,93,107,False,14
ACAO_ROMI3,89,101,False,12
ACAO_SANB11,47,50,False,3
ACAO_SANB4,159,436,False,277
ACAO_SBSP3,60,60,False,0
ACAO_SCAR3,86,131,False,45
ACAO_SLCE3,64,74,False,10
ACAO_SMTO3,43,52,False,9
ACAO_TASA4,130,159,False,29
ACAO_TCSA3,61,91,False,30
ACAO_TELB4,189,224,False,35
ACAO_TGMA3,66,75,False,9
ACAO_TIMS3,49,52,False,3
ACAO_TOTS3,43,47,False,4
ACAO_TPIS3,118,155,False,37
ACAO_TRIS3,48,79,False,31
ACAO_UNIP6,42,101,False,59
ACAO_USIM3,92,100,False,8
ACAO_USIM5,73,79,False,6
ACAO_VALE3,78,81,False,3
ACAO_VIVT3,60,67,False,7
ACAO_VLID3,92,96,False,4
ACAO_WEGE3,58,62,False,4
ACAO_YDUQ3,65,72,False,7
